time,city,监测点,AQI指数,空气质量状况,PM10,Co,No2,So2,O3
2019-04-30  21:00,beijing,万寿西宫,45,优,45,0.3,20,3,71
2019-04-30  21:00,beijing,定陵,31,优,31,0.2,9,3,92
2019-04-30  21:00,beijing,东四,55,良,59,0.4,31,3,64
2019-04-30  21:00,beijing,天坛,52,良,54,0.4,34,3,47
2019-04-30  21:00,beijing,农展馆,43,优,43,0.4,25,3,69
2019-04-30  21:00,beijing,官园,37,优,37,0.3,29,1,62
2019-04-30  21:00,beijing,海淀区万柳,48,优,48,0.2,18,3,77
2019-04-30  21:00,beijing,顺义新城,55,良,59,0.2,21,3,83
2019-04-30  21:00,beijing,怀柔镇,49,优,49,0.2,10,1,90
2019-04-30  21:00,beijing,昌平镇,44,优,44,0.2,11,3,83
2019-04-30  21:00,beijing,奥体中心,51,良,51,0.3,40,3,61
2019-04-30  21:00,beijing,古城,35,优,35,0.1,9,3,85
