time,city,监测点,AQI指数,空气质量状况,PM10,Co,No2,So2,O3
2019-04-30  21:00,jinan,科干所,67,良,83,0.3,38,7,106
2019-04-30  21:00,jinan,农科所,74,良,98,0.4,53,6,63
2019-04-30  21:00,jinan,开发区,71,良,91,0.2,40,10,94
2019-04-30  21:00,jinan,济南化工厂,66,良,82,0.3,57,6,68
2019-04-30  21:00,jinan,省种子仓库,0,--,0,0.0,0,0,0
2019-04-30  21:00,jinan,机床二厂,75,良,100,0.4,46,5,83
2019-04-30  21:00,jinan,市监测站,70,良,90,0.4,39,6,90
2019-04-30  21:00,jinan,长清党校,72,良,93,0.4,49,5,71
2019-04-30  21:00,jinan,技术学院,113,轻度污染,175,0.4,19,5,120
2019-04-30  21:00,jinan,泰兴公司,101,轻度污染,152,0.3,24,5,112
2019-04-30  21:00,jinan,莱芜战役纪念馆,99,良,147,0.3,15,5,113
