日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,良,53,55,25,60,57,36,1.21,25
2015-01-02,良,69,170,43,78,62,44,1.39,24
2015-01-03,中度污染,155,272,112,224,175,90,6.0,4
2015-01-04,轻度污染,118,129,82,171,103,69,2.55,26
2015-01-05,轻度污染,129,171,83,194,118,80,2.89,6
2015-01-06,良,62,132,31,74,67,41,1.14,25
2015-01-07,良,70,138,38,80,75,48,2.1,22
2015-01-08,轻度污染,117,240,80,167,114,72,2.84,5
2015-01-09,轻度污染,137,239,102,190,87,74,2.48,9
2015-01-10,轻度污染,134,232,96,193,106,78,2.32,16
2015-01-11,良,53,52,32,57,50,38,0.65,28
2015-01-12,良,82,174,56,101,63,55,1.27,9
2015-01-13,轻度污染,127,263,96,157,108,70,2.46,10
2015-01-14,重度污染,221,338,173,267,126,81,3.23,8
2015-01-15,轻度污染,121,219,91,158,83,53,1.6,11
2015-01-16,中度污染,171,285,128,186,80,50,1.66,14
2015-01-17,良,92,165,58,124,69,56,1.89,18
2015-01-18,轻度污染,140,299,104,179,122,73,3.65,15
2015-01-19,优,43,21,21,44,36,29,0.71,36
2015-01-20,良,66,63,38,80,43,49,0.96,14
2015-01-21,良,60,55,37,62,35,26,0.56,31
2015-01-22,轻度污染,131,259,98,184,97,76,4.35,10
2015-01-23,中度污染,187,324,144,260,142,94,5.11,8
2015-01-24,良,95,116,63,113,70,45,1.15,22
2015-01-25,轻度污染,146,204,111,163,61,56,3.37,14
2015-01-26,轻度污染,147,212,104,171,37,52,3.21,16
2015-01-27,良,61,112,30,70,49,40,0.92,25
2015-01-28,良,57,196,36,67,50,45,1.14,21
2015-01-29,轻度污染,111,315,80,143,76,61,2.44,15
2015-01-30,良,53,103,30,57,50,38,0.91,28
2015-01-31,良,76,211,44,97,81,55,2.08,19
2015-02-01,轻度污染,111,267,80,150,119,79,3.3,9
2015-02-02,中度污染,156,304,118,209,125,93,3.99,7
2015-02-03,重度污染,214,322,164,263,113,101,4.31,8
2015-02-04,良,83,149,56,93,55,45,1.39,34
2015-02-05,优,50,45,24,57,45,38,1.12,37
2015-02-06,轻度污染,107,241,74,149,89,74,2.8,19
2015-02-07,良,89,144,40,117,43,31,0.99,41
2015-02-08,优,43,33,19,45,42,30,0.85,41
2015-02-09,轻度污染,109,286,71,159,91,70,2.78,23
2015-02-10,轻度污染,140,295,103,182,96,77,3.34,23
2015-02-11,良,64,59,40,76,55,48,2.11,35
2015-02-12,良,54,49,37,56,48,35,1.32,43
2015-02-13,轻度污染,110,221,79,150,116,68,2.78,26
2015-02-14,重度污染,221,341,173,299,150,85,3.89,33
2015-02-15,轻度污染,117,224,85,151,63,35,1.34,60
2015-02-16,中度污染,152,281,113,178,44,52,2.41,33
2015-02-17,良,78,137,50,102,37,35,1.59,38
2015-02-18,良,51,49,32,55,35,19,0.82,53
2015-02-19,轻度污染,122,216,93,143,83,35,2.01,36
2015-02-20,良,83,258,60,90,57,31,1.72,36
2015-02-21,轻度污染,128,308,94,139,42,30,2.23,32
2015-02-22,重度污染,250,340,69,300,34,15,0.92,47
2015-02-23,良,70,160,31,90,50,26,1.21,36
2015-02-24,轻度污染,108,288,66,163,70,47,2.25,14
2015-02-25,轻度污染,118,300,88,173,54,35,1.62,28
2015-02-26,优,45,87,23,46,44,23,0.88,43
2015-02-27,优,35,62,19,32,30,17,0.62,50
2015-02-28,良,97,330,70,107,40,44,2.33,16
2015-03-01,中度污染,193,360,84,266,59,44,2.35,31
2015-03-02,轻度污染,125,329,91,183,67,59,2.07,24
2015-03-03,良,59,113,19,68,32,18,0.73,52
2015-03-04,优,43,70,20,45,30,27,1.14,46
2015-03-05,良,80,273,51,105,66,51,2.38,36
2015-03-06,轻度污染,112,301,83,143,64,61,2.02,35
2015-03-07,中度污染,172,352,130,220,78,75,2.48,33
2015-03-08,轻度污染,126,320,90,153,50,59,1.49,29
2015-03-09,优,50,87,20,52,27,29,0.72,50
2015-03-10,良,66,191,31,81,45,47,1.44,36
2015-03-11,良,60,129,31,73,38,39,1.15,50
2015-03-12,良,76,178,41,99,54,51,1.3,54
2015-03-13,良,67,143,29,86,46,52,1.23,37
2015-03-14,良,80,148,46,105,71,57,1.55,37
2015-03-15,轻度污染,128,273,76,195,62,70,2.23,30
2015-03-16,中度污染,176,329,121,236,38,53,1.75,31
2015-03-17,轻度污染,121,300,71,155,35,34,1.03,54
2015-03-18,轻度污染,101,304,59,151,65,63,2.02,45
2015-03-19,轻度污染,121,314,71,188,66,63,2.02,40
2015-03-20,中度污染,184,338,84,284,81,73,2.22,32
2015-03-21,轻度污染,134,320,58,212,62,55,1.89,42
2015-03-22,轻度污染,120,292,22,166,22,26,0.78,52
2015-03-23,良,92,303,47,131,49,48,1.7,38
2015-03-24,良,67,187,40,82,32,47,1.04,53
2015-03-25,轻度污染,113,329,75,166,63,76,1.75,30
2015-03-26,中度污染,165,352,94,257,80,70,3.12,66
2015-03-27,轻度污染,130,328,70,207,60,63,2.3,67
2015-03-28,轻度污染,139,323,95,222,44,62,2.09,36
2015-03-29,中度污染,156,312,111,249,41,52,1.73,44
2015-03-30,轻度污染,111,283,66,171,22,35,1.23,70
2015-03-31,良,83,223,50,114,18,36,1.03,52
2015-04-01,良,77,249,31,101,17,29,0.81,76
2015-04-02,良,53,129,34,55,13,31,1.08,60
2015-04-03,良,60,141,38,65,18,37,0.98,66
2015-04-04,轻度污染,129,324,97,141,22,48,1.22,69
2015-04-05,中度污染,187,332,142,205,35,60,2.12,59
2015-04-06,优,45,109,18,43,6,11,0.47,76
2015-04-07,良,54,211,25,60,15,33,0.8,55
2015-04-08,轻度污染,110,333,81,140,40,53,1.77,54
2015-04-09,轻度污染,131,340,98,166,57,55,2.39,47
2015-04-10,中度污染,189,360,144,211,41,57,2.1,50
2015-04-11,轻度污染,149,352,112,146,18,42,1.25,67
2015-04-12,良,59,106,40,39,8,16,0.8,72
2015-04-13,良,56,87,32,59,10,28,0.8,83
2015-04-14,轻度污染,124,348,92,172,38,66,2.39,63
2015-04-15,中度污染,196,349,148,261,49,76,2.99,50
2015-04-16,良,78,117,25,100,13,21,0.76,75
2015-04-17,轻度污染,117,280,57,182,39,62,2.08,50
2015-04-18,轻度污染,110,291,57,168,23,51,1.17,51
2015-04-19,良,86,291,35,121,20,42,1.01,53
2015-04-20,良,83,297,43,113,34,51,1.93,49
2015-04-21,良,71,215,41,89,39,56,2.54,55
2015-04-22,良,56,84,17,60,34,38,1.76,52
2015-04-23,良,68,133,16,88,36,22,1.38,54
2015-04-24,良,87,241,13,122,36,25,2.15,48
2015-04-25,良,85,197,24,116,36,28,3.37,77
2015-04-26,良,78,144,26,101,30,19,2.62,78
2015-04-27,良,65,88,23,77,23,13,0.97,71
2015-04-28,优,43,28,11,39,14,14,0.59,42
2015-04-29,良,52,65,18,57,15,18,0.84,29
2015-04-30,良,96,251,60,115,25,28,1.7,44
2015-05-01,轻度污染,113,326,83,133,22,35,1.11,58
2015-05-02,良,100,351,74,110,17,27,0.9,46
2015-05-03,轻度污染,124,341,80,165,18,34,1.9,38
2015-05-04,良,62,156,12,75,16,18,0.77,60
2015-05-05,轻度污染,122,336,52,179,31,41,1.88,55
2015-05-06,良,66,123,18,85,17,26,0.63,51
2015-05-07,优,41,33,16,40,16,32,1.2,50
2015-05-08,优,49,90,30,48,12,19,0.86,46
2015-05-09,优,25,5,14,22,14,27,0.7,35
2015-05-10,优,35,13,19,34,20,39,0.77,35
2015-05-11,优,41,57,28,35,14,35,1.85,21
2015-05-12,优,49,92,28,45,25,34,1.81,33
2015-05-13,良,71,179,44,90,57,58,2.62,38
2015-05-14,良,55,102,24,66,28,27,0.85,52
2015-05-15,优,43,76,18,39,22,33,0.74,51
2015-05-16,良,62,142,32,72,42,59,2.1,55
2015-05-17,良,80,208,54,101,28,37,1.24,86
2015-05-18,良,72,176,35,90,15,29,0.9,65
2015-05-19,轻度污染,107,303,24,145,14,33,0.54,43
2015-05-20,良,59,162,18,68,12,60,0.67,34
2015-05-21,良,86,318,29,119,30,64,1.22,59
2015-05-22,良,90,284,48,120,39,64,1.48,81
2015-05-23,良,82,246,56,106,27,58,0.95,61
2015-05-24,良,95,256,67,129,36,65,1.29,76
2015-05-25,良,95,236,65,132,40,65,1.77,93
2015-05-26,轻度污染,112,271,82,149,37,62,2.26,96
2015-05-27,轻度污染,118,280,87,154,29,59,1.37,68
2015-05-28,良,66,182,40,78,14,46,0.62,56
2015-05-29,良,64,225,42,69,8,38,0.61,25
2015-05-30,良,64,230,30,73,9,36,0.59,37
2015-05-31,轻度污染,104,297,63,128,20,43,1.14,80
2015-06-01,良,86,228,57,120,10,36,1.08,67
2015-06-02,良,66,231,31,79,7,35,0.64,50
2015-06-03,良,75,305,24,98,17,49,0.98,45
2015-06-04,良,80,298,35,109,30,61,1.66,35
2015-06-05,良,71,243,46,83,17,33,1.17,61
2015-06-06,良,72,213,42,90,11,38,0.52,62
2015-06-07,良,66,232,36,79,14,34,0.55,51
2015-06-08,良,66,262,29,79,21,40,0.97,68
2015-06-09,良,72,219,34,82,24,44,1.14,82
2015-06-10,良,62,191,40,67,8,26,0.45,71
2015-06-11,良,53,144,30,55,12,32,0.95,61
2015-06-12,良,63,182,30,78,23,45,1.3,45
2015-06-13,优,50,131,29,51,11,37,0.57,53
2015-06-14,优,44,102,17,39,11,37,0.46,54
2015-06-15,良,78,246,48,99,35,53,1.58,64
2015-06-16,良,94,296,66,118,32,51,1.18,77
2015-06-17,轻度污染,132,333,98,144,21,51,0.89,72
2015-06-18,优,41,77,15,34,11,39,0.41,48
2015-06-19,优,38,55,16,37,12,49,0.59,38
2015-06-20,优,46,90,17,47,13,43,0.62,42
2015-06-21,轻度污染,109,340,77,131,29,50,1.77,71
2015-06-22,良,53,147,30,56,15,32,0.49,70
2015-06-23,良,54,160,28,57,12,32,0.48,50
2015-06-24,良,73,293,44,89,17,45,0.8,57
2015-06-25,良,76,322,52,82,17,26,0.68,69
2015-06-26,良,68,274,47,79,24,40,1.45,46
2015-06-27,优,49,180,28,51,14,40,0.77,39
2015-06-28,良,57,225,32,64,16,41,0.63,53
2015-06-29,优,39,92,17,35,12,41,0.37,38
2015-06-30,优,32,34,8,30,15,42,0.72,34
2015-07-01,优,46,135,17,48,21,46,1.32,43
2015-07-02,优,44,100,14,43,17,45,0.49,31
2015-07-03,优,29,10,8,20,9,26,0.27,50
2015-07-04,良,57,191,22,66,25,54,1.28,31
2015-07-05,良,55,190,23,60,22,40,0.83,51
2015-07-06,优,49,131,16,48,19,36,0.44,54
2015-07-07,优,47,103,16,50,24,34,0.51,43
2015-07-08,良,58,168,25,70,26,36,0.61,44
2015-07-09,良,54,141,20,57,26,39,0.62,55
2015-07-10,优,41,88,19,40,16,24,0.47,58
2015-07-11,良,65,228,40,73,14,40,0.7,49
2015-07-12,轻度污染,108,319,79,127,23,51,1.14,44
2015-07-13,良,68,146,22,71,15,45,0.74,82
2015-07-14,良,88,255,30,104,29,60,1.25,91
2015-07-15,良,96,313,47,125,27,60,1.34,87
2015-07-16,良,60,202,25,68,12,28,0.38,73
2015-07-17,良,53,164,19,56,12,32,0.32,65
2015-07-18,良,62,221,21,74,16,36,0.48,46
2015-07-19,优,46,81,22,46,12,15,0.37,46
2015-07-20,优,35,39,22,32,9,19,0.42,38
2015-07-21,良,97,335,71,105,13,20,0.72,80
2015-07-22,轻度污染,142,360,107,147,22,38,2.09,49
2015-07-23,良,86,324,62,89,18,26,0.96,61
2015-07-24,轻度污染,135,359,101,138,21,30,1.25,56
2015-07-25,轻度污染,106,349,79,114,16,33,0.91,64
2015-07-26,轻度污染,109,336,79,125,24,37,1.34,88
2015-07-27,良,75,265,52,91,17,38,1.1,62
2015-07-28,良,68,264,43,75,16,39,0.86,49
2015-07-29,轻度污染,122,356,90,151,19,25,0.9,47
2015-07-30,优,48,159,26,42,14,17,0.57,60
2015-07-31,优,34,52,14,30,14,25,0.49,52
2015-08-01,良,54,192,27,59,18,27,0.7,44
2015-08-02,良,51,154,32,51,17,33,0.78,41
2015-08-03,良,100,354,71,122,25,39,2.33,32
2015-08-04,良,70,314,35,88,36,41,1.95,71
2015-08-05,良,85,312,54,111,42,40,2.22,69
2015-08-06,良,53,166,28,55,17,30,0.83,51
2015-08-07,优,41,81,16,39,20,32,0.64,43
2015-08-08,优,31,55,10,30,18,17,0.38,43
2015-08-09,良,83,330,49,114,29,48,1.65,62
2015-08-10,良,64,292,24,75,24,46,0.9,49
2015-08-11,良,54,215,10,57,24,49,0.62,42
2015-08-12,良,76,284,32,91,33,49,1.4,74
2015-08-13,轻度污染,105,317,62,140,39,50,1.36,85
2015-08-14,轻度污染,125,352,92,175,48,52,2.46,67
2015-08-15,良,71,266,33,87,40,48,1.42,52
2015-08-16,良,100,305,75,111,48,48,1.94,62
2015-08-17,良,98,285,72,108,46,42,1.92,63
2015-08-18,轻度污染,107,330,80,119,45,43,1.36,55
2015-08-19,良,73,304,49,80,39,53,1.32,34
2015-08-20,良,52,194,23,54,46,52,1.87,41
2015-08-21,优,29,11,5,22,27,38,0.57,40
2015-08-22,优,37,32,8,34,17,42,0.69,35
2015-08-23,优,28,21,5,25,14,45,0.57,27
2015-08-24,优,27,14,5,21,14,29,0.4,45
2015-08-25,优,29,13,4,21,12,28,0.36,47
2015-08-26,优,26,8,5,22,15,33,0.48,34
2015-08-27,优,27,9,4,22,16,36,0.49,33
2015-08-28,优,37,62,8,34,26,50,1.12,34
2015-08-29,优,26,21,5,18,18,36,0.47,31
2015-08-30,优,26,24,6,20,18,32,0.52,35
2015-08-31,优,27,20,7,25,17,35,0.57,28
2015-09-01,优,20,6,4,13,11,23,0.43,42
2015-09-02,优,26,37,6,18,10,22,0.45,44
2015-09-03,优,24,21,6,22,13,18,0.5,23
2015-09-04,优,28,28,6,27,15,19,0.46,30
2015-09-05,优,41,114,8,41,17,32,0.48,30
2015-09-06,优,35,54,5,34,13,24,0.35,43
2015-09-07,良,74,321,23,96,31,55,1.56,37
2015-09-08,良,81,310,36,113,35,54,2.33,39
2015-09-09,良,54,176,14,64,22,45,0.82,30
2015-09-10,优,26,22,4,24,12,33,0.41,23
2015-09-11,优,24,14,5,22,13,37,0.55,20
2015-09-12,优,24,8,4,21,16,31,0.5,22
2015-09-13,良,52,140,9,55,35,58,1.54,24
2015-09-14,良,65,209,20,78,41,49,1.95,39
2015-09-15,良,59,159,25,71,27,29,1.0,29
2015-09-16,良,59,151,21,67,34,27,1.46,33
2015-09-17,良,86,292,46,119,41,33,2.45,40
2015-09-18,良,75,229,39,99,36,44,2.42,30
2015-09-19,优,35,54,11,34,17,35,0.83,20
2015-09-20,优,46,103,10,47,21,30,0.88,39
2015-09-21,良,53,133,16,58,32,33,1.81,41
2015-09-22,良,62,227,28,73,16,30,1.08,38
2015-09-23,优,40,86,17,38,16,31,1.07,47
2015-09-24,优,37,79,13,36,12,19,0.68,35
2015-09-25,优,25,10,5,20,13,31,0.59,37
2015-09-26,优,33,42,6,32,25,32,0.81,25
2015-09-27,良,54,155,14,58,51,45,2.29,35
2015-09-28,优,23,9,5,22,17,21,0.59,30
2015-09-29,优,27,14,6,26,22,32,0.71,17
2015-09-30,优,37,74,8,36,31,35,1.67,15
2015-10-01,优,30,13,8,28,17,27,1.27,23
2015-10-02,良,55,123,9,60,39,39,1.74,24
2015-10-03,优,48,94,5,51,14,18,0.69,35
2015-10-04,良,61,165,19,72,43,40,2.38,43
2015-10-05,良,99,298,53,146,29,41,1.85,48
2015-10-06,轻度污染,107,295,63,161,49,52,3.3,55
2015-10-07,良,90,298,56,129,24,42,1.44,45
2015-10-08,优,38,78,11,41,10,22,0.71,36
2015-10-09,优,42,89,7,44,22,32,1.15,22
2015-10-10,优,17,1,4,14,7,15,0.49,27
2015-10-11,优,28,21,7,28,15,34,0.69,21
2015-10-12,良,56,139,10,67,24,46,0.93,19
2015-10-13,良,58,95,11,69,25,42,0.81,26
2015-10-14,轻度污染,117,266,50,181,43,68,1.66,33
2015-10-15,轻度污染,109,242,61,166,42,78,2.02,54
2015-10-16,轻度污染,117,245,77,175,33,74,2.61,54
2015-10-17,轻度污染,132,291,97,198,43,76,2.44,75
2015-10-18,优,46,61,16,50,12,35,0.58,43
2015-10-19,良,60,81,18,71,40,68,1.77,20
2015-10-20,良,52,63,14,58,18,32,0.68,41
2015-10-21,优,36,16,7,35,9,23,0.56,41
2015-10-22,优,43,37,10,44,16,42,0.88,20
2015-10-23,良,71,133,35,90,35,58,2.74,11
2015-10-24,优,50,61,17,56,13,29,0.95,33
