日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,良,87,224,54,119,72,54,1.6,25
2015-01-02,轻度污染,125,521,87,175,96,65,2.04,20
2015-01-03,中度污染,160,280,122,212,86,75,2.04,22
2015-01-04,重度污染,212,280,164,290,129,89,2.71,30
2015-01-05,重度污染,241,318,192,294,100,78,2.6,17
2015-01-06,良,73,185,44,90,42,43,1.32,20
2015-01-07,轻度污染,109,290,78,137,78,60,2.05,10
2015-01-08,重度污染,205,346,154,271,117,82,3.01,8
2015-01-09,严重污染,328,364,256,432,130,107,3.43,5
2015-01-10,严重污染,289,357,239,332,125,104,3.43,8
2015-01-11,中度污染,170,296,128,198,61,64,2.51,9
2015-01-12,良,72,147,49,82,58,40,1.38,15
2015-01-13,良,80,170,57,89,60,38,1.05,15
2015-01-14,轻度污染,115,233,86,118,47,40,1.37,12
2015-01-15,重度污染,212,313,169,225,50,56,2.06,10
2015-01-16,中度污染,182,305,134,215,31,42,1.97,17
2015-01-17,良,76,107,40,97,46,44,1.2,14
2015-01-18,轻度污染,112,210,66,150,41,34,1.21,17
2015-01-19,良,87,150,45,116,59,52,1.4,16
2015-01-20,轻度污染,103,208,68,138,57,51,1.42,19
2015-01-21,轻度污染,121,222,88,167,53,50,1.8,13
2015-01-22,良,91,143,60,101,46,45,1.51,15
2015-01-23,中度污染,160,267,120,177,77,64,1.79,19
2015-01-24,中度污染,178,267,134,204,71,67,2.15,16
2015-01-25,轻度污染,145,203,109,128,38,52,2.1,8
2015-01-26,中度污染,164,230,127,182,54,49,2.3,8
2015-01-27,良,51,73,22,54,36,28,1.17,19
2015-01-28,良,75,269,54,87,68,40,1.59,24
2015-01-29,轻度污染,129,334,97,130,59,44,1.53,17
2015-01-30,良,82,230,50,99,45,42,1.51,25
2015-01-31,良,91,259,59,116,84,58,1.75,15
2015-02-01,轻度污染,129,301,96,169,91,52,2.25,11
2015-02-02,中度污染,172,323,129,212,97,62,2.3,18
2015-02-03,重度污染,229,332,178,264,116,87,2.69,19
2015-02-04,轻度污染,143,255,94,158,54,54,1.95,30
2015-02-05,良,64,116,32,74,51,57,1.34,24
2015-02-06,轻度污染,111,250,79,154,78,58,1.98,17
2015-02-07,良,99,188,61,135,28,27,2.27,7
2015-02-08,优,45,40,19,46,26,22,1.06,26
2015-02-09,良,93,228,64,124,72,49,1.65,23
2015-02-10,轻度污染,127,257,94,150,40,37,1.7,26
2015-02-11,中度污染,168,302,129,218,83,70,2.75,14
2015-02-12,轻度污染,109,191,78,142,46,47,2.42,13
